name,module,file,line,first_tactic,n_tokens,truncated,surprise_given,mean_surprise,surprise_alone,pmi,mean_pmi,max_incongruity,first_step_surprise,max_rank
cycleMax_iterate_le,Problems.Juggler.CycleExtrema,formal/Problems/Juggler/CycleExtrema.lean,866,have,66,0,116.39134216308594,1.763505220413208,314.4350280761719,198.04368591308594,3.0006619077740293,4.661041736602783,3.639394760131836,192
cycleMax_not_cycleMin,Problems.Juggler.CycleExtrema,formal/Problems/Juggler/CycleExtrema.lean,874,intro,29,0,44.76167297363281,1.5435059070587158,167.546630859375,122.78495788574219,4.233964065025592,5.975334167480469,1.2795532941818237,138
cycleMax_min_sq_lt,Problems.Juggler.CycleExtrema,formal/Problems/Juggler/CycleExtrema.lean,883,have,442,0,436.4476013183594,0.9874380826950073,965.0848999023438,528.6373291015625,1.1960120567908654,7.8603973388671875,1.4050016403198242,669
cycle_distinguished_order,Problems.Juggler.CycleExtrema,formal/Problems/Juggler/CycleExtrema.lean,917,have,741,0,915.3265991210938,1.2352585792541504,1523.595703125,608.2691040039062,0.8208759838109396,14.786653518676758,1.7300844192504883,2491
follows_singleton_of_get,Problems.Juggler.CycleExtrema,formal/Problems/Juggler/CycleExtrema.lean,1006,rcases,49,0,77.35462951660156,1.578665852546692,230.83834838867188,153.4837188720703,3.1323207933075574,5.256924152374268,5.038088798522949,191
cycle_remainder_eq,Problems.Juggler.CycleExtrema,formal/Problems/Juggler/CycleExtrema.lean,1013,have,73,0,119.96214294433594,1.6433169841766357,345.8984680175781,225.9363250732422,3.095018151688249,8.699966430664062,3.2407805919647217,1786
cycle_remainder_lt,Problems.Juggler.CycleExtrema,formal/Problems/Juggler/CycleExtrema.lean,1023,have,73,0,111.56028747558594,1.5282231569290161,339.51129150390625,227.9510040283203,3.1226164935386342,6.929093360900879,2.632026195526123,1444
cycle_pathNextSquares_eq,Problems.Juggler.CycleExtrema,formal/Problems/Juggler/CycleExtrema.lean,1093,have,36,0,60.49634552001953,1.6804540157318115,203.0402069091797,142.54385375976562,3.9595514933268228,4.771498680114746,3.760127544403076,98
cycle_remainder_balance,Problems.Juggler.CycleExtrema,formal/Problems/Juggler/CycleExtrema.lean,1102,have,72,0,140.8669891357422,1.9564859867095947,343.36248779296875,202.49549865722656,2.812437481350369,5.1414618492126465,2.3195338249206543,435
cycle_remainders_project_to_envelope,Problems.Juggler.CycleExtrema,formal/Problems/Juggler/CycleExtrema.lean,1112,simpa,17,0,55.60518264770508,3.270893096923828,135.41278076171875,79.80760192871094,4.6945648193359375,7.240769386291504,4.908717155456543,1175
cycle_not_localsTight,Problems.Juggler.CycleExtrema,formal/Problems/Juggler/CycleExtrema.lean,1150,intro,292,0,409.25799560546875,1.4015684127807617,860.6680297851562,451.4100341796875,1.545924774587971,10.794700622558594,1.8143417835235596,2818
cycle_exists_pos_remainder,Problems.Juggler.CycleExtrema,formal/Problems/Juggler/CycleExtrema.lean,1177,by_contra,132,0,183.35516357421875,1.389054298400879,550.5243530273438,367.169189453125,2.7815847685842803,10.04033374786377,4.422619819641113,4888
cycleMax_pred_cube_strict,Problems.Juggler.CycleExtrema,formal/Problems/Juggler/CycleExtrema.lean,1192,have,160,0,160.47740173339844,1.002983808517456,483.36212158203125,322.88470458984375,2.0180294036865236,8.59937572479248,1.9600117206573486,2262
cycle_peak_odd_remainder_pos,Problems.Juggler.CycleExtrema,formal/Problems/Juggler/CycleExtrema.lean,1208,have,165,0,205.81207275390625,1.2473458051681519,496.1461181640625,290.33404541015625,1.7596002752130682,9.941550254821777,2.1128506660461426,10715
log_le_two_log_add,Problems.Juggler.CycleFinance,formal/Problems/Juggler/CycleFinance.lean,42,have,475,0,274.4273681640625,0.577741801738739,663.209228515625,388.7818603515625,0.818488127055921,9.493824005126953,0.9336245059967041,800
log_step_even,Problems.Juggler.CycleFinance,formal/Problems/Juggler/CycleFinance.lean,74,have,66,0,150.41232299804688,2.278974771499634,338.2513122558594,187.8389892578125,2.846045291785038,10.097843170166016,1.310522198677063,1707
log_step_odd,Problems.Juggler.CycleFinance,formal/Problems/Juggler/CycleFinance.lean,82,have,140,0,245.25,1.7517857551574707,481.91497802734375,236.66497802734375,1.690464128766741,9.032832145690918,1.1238300800323486,1892
cycleMin_log_envelope,Problems.Juggler.CycleFinance,formal/Problems/Juggler/CycleFinance.lean,97,intro,1024,1,764.143310546875,0.7462337017059326,1579.82666015625,815.683349609375,0.7965657711029053,11.282156944274902,2.0519514083862305,1134
cycleMin_finance,Problems.Juggler.CycleFinance,formal/Problems/Juggler/CycleFinance.lean,210,have,269,0,249.400390625,0.9271389842033386,638.942626953125,389.542236328125,1.4481124027067844,10.782280921936035,1.6595786809921265,1846
cycleMin_iterate_ge_two,Problems.Juggler.CycleFinance,formal/Problems/Juggler/CycleFinance.lean,233,rcases,48,0,83.4993896484375,1.7395706176757812,282.1600341796875,198.66064453125,4.138763427734375,12.795095443725586,4.620640754699707,525
cycleMin_log_envelope_inv,Problems.Juggler.CycleFinance,formal/Problems/Juggler/CycleFinance.lean,244,intro,1024,1,715.5518798828125,0.6987811326980591,1544.512939453125,828.9610595703125,0.8095322847366333,9.560380935668945,2.028728485107422,1153
cycleMin_finance_inv_sum,Problems.Juggler.CycleFinance,formal/Problems/Juggler/CycleFinance.lean,377,have,42,0,109.94233703613281,2.6176748275756836,286.62139892578125,176.67906188964844,4.206644330705915,9.791007041931152,1.563646912574768,1436
oddCount_rotateItinerary,Problems.Juggler.CycleFinanceLeftovers,formal/Problems/Juggler/CycleFinanceLeftovers.lean,44,intro,103,0,74.32295227050781,0.7215820550918579,376.1990966796875,301.87615966796875,2.9308365016307647,3.0897433757781982,1.6924808025360107,24
log_thirteen_gt,Problems.Juggler.CycleFinanceLeftovers,formal/Problems/Juggler/CycleFinanceLeftovers.lean,60,rw,270,0,247.57241821289062,0.9169348478317261,554.2064208984375,306.6340026855469,1.1356814914279514,7.2024760246276855,2.5709738731384277,148
cycle_finance_min_thirteen,Problems.Juggler.CycleFinanceLeftovers,formal/Problems/Juggler/CycleFinanceLeftovers.lean,81,obtain,510,0,503.99090576171875,0.9882175326347351,908.493408203125,404.50250244140625,0.7931421616498162,12.8042631149292,3.623670816421509,2954
no_cycle_itinerary_length_nine,Problems.Juggler.CycleFinanceLeftovers,formal/Problems/Juggler/CycleFinanceLeftovers.lean,113,intro,244,0,314.8494873046875,1.2903666496276855,565.64306640625,250.7935791015625,1.0278425373014857,12.697083473205566,3.5832676887512207,1324
no_cycle_itinerary_length_ten,Problems.Juggler.CycleFinanceLeftovers,formal/Problems/Juggler/CycleFinanceLeftovers.lean,135,intro,248,0,312.9712219238281,1.261980652809143,567.6243896484375,254.65316772460938,1.0268272892121346,12.983470916748047,3.3651442527770996,1391
no_cycle_itinerary_length_twelve,Problems.Juggler.CycleFinanceLeftovers,formal/Problems/Juggler/CycleFinanceLeftovers.lean,157,intro,248,0,306.3795471191406,1.2354013919830322,565.864990234375,259.4854431152344,1.0463122706259451,12.643245697021484,3.526951551437378,1316
no_cycle_itinerary_length_thirteen,Problems.Juggler.CycleFinanceLeftovers,formal/Problems/Juggler/CycleFinanceLeftovers.lean,179,intro,251,0,312.77691650390625,1.246123194694519,562.577880859375,249.80096435546875,0.9952229655596364,12.868159294128418,3.846905469894409,1418
